"","RA.L_N","RA.H_N","RA.H_J","RA.L_J","RB.L_N","RB.H_N","RB.H_J","RB.L_J","RC.L_N","RC.H_N","RC.H_J","RC.L_J","RD.L_N","RD.H_N","RD.H_J","RD.L_J","RE.L_N","RE.H_N","RE.H_J","RE.L_J","S1.L_N","S1.H_N","S1.H_J","S1.L_J","S2.L_N","S2.H_N","S2.H_J","S2.L_J","S3.L_N","S3.H_N","S3.H_J","S3.L_J","S4.L_N","S4.H_N","S4.H_J","S4.L_J","S5.L_N","S5.H_N","S5.H_J","S5.L_J","S6.L_N","S6.H_N","S6.H_J","S6.L_J","S7U.L_N","S7B.L_N","S7U.H_N","S7B.H_N","S7U.H_J","S7B.H_J","S7U.L_J","S7B.L_J","S8U.L_N","S8B.L_N","S8U.H_N","S8B.H_N","S8U.H_J","S8B.H_J","S8U.L_J","S8B.L_J"
"Maurolicus muelleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
"Microstomus achne",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mustelus manazo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myliobatis tobijei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nannobrachium sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notoscopelus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus kisutch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ostorhinchus endekataenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,143
"Ostorhinchus semilineatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,103
"Paramonacanthus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parupeneus spilurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pempheris schwenkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pennahia argentata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petroscirtes breviceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pholis nebulosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plecoglossus altivelis altivelis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,33,122,0,46,0,0,0,0,0,0,0,0
"Pleurogrammus azonus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyipnus matsubarai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polypterus endlicherii endlicherii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Priacanthus sagittarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0
"Psenopsis anomala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
"Psenopsis sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,236,0,0,0,0,55,0,0,411,51,0,0,362,13,0,0,399,22,0,0,49,30,0,0,148,0,0,0,0,0,0,466,42,106,0,0,0,0,0,0,0,0
"Pseudocaranx dentex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudorhombus pentophthalmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
"Repomucenus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,73,0,0,0,13,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
"Rhabdosargus sarba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinogobius sp.",0,0,104,84,0,0,51,26,0,0,30,41,0,0,194,30,0,0,109,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Saurida sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0
"Scomber scombrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,593,0,0,944,490,0,0,0,19,0,0,0,0,0,0,0,331,0,0,0,30,0,0,0,0,0,0,358,215,0,0,0,0,0,0,0,0
"Scomberomorus niphonius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,62,60,0,0,296,13,0,0,255,0,0,0,371,84,0,0,0,0,0,0,0,40,0,0,0,0,123,480,100,18,0,0,0,0,608,141,381,0
"Scombrops sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,106,63,0,0,0,0,0,0,208,0,0,0
"Sebastes koreanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sebastes sp.",0,0,0,0,0,0,0,0,0,0,0,12,0,0,522,68,0,0,694,33,0,0,2355,1253,0,0,936,603,0,0,1840,1964,0,0,1622,2492,0,0,938,342,0,0,1548,356,0,0,0,0,2241,891,470,1220,0,0,0,0,1065,374,243,284
"Sebastiscus tertius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sebastolobus sp.",0,0,0,0,0,0,0,0,0,0,0,71,0,0,78,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spratelloides gracilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
"Strongylura anastomella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,1035,132
"Syngnathus schlegeli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Takifugu sp.",0,0,2567,540,0,0,2415,1333,0,0,1649,2894,0,0,11398,7394,0,0,6447,8008,0,0,1267,2905,0,0,1584,2563,0,0,6720,6593,0,0,3064,1548,0,0,1067,1485,0,0,2122,1079,0,0,0,0,1888,1733,718,1078,0,0,0,0,0,0,546,144
"Thunnus sp.2",0,0,105,0,0,0,0,37,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachurus sp.",0,0,0,0,0,0,34,0,0,0,16,0,0,0,517,880,0,0,1152,596,0,0,8745,4804,0,0,6735,2816,0,0,4832,370,0,0,3538,992,0,0,5977,8597,0,0,1151,20197,0,0,0,0,4229,7059,2915,4673,0,0,0,0,412,99,585,97
"Triacanthus biaculeatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0
"Tridentiger sp.",0,0,6703,2211,0,0,3923,3325,0,0,4143,2944,0,0,2279,5550,0,0,1648,5784,0,0,0,400,0,0,190,365,0,0,65,56,0,0,0,0,0,0,220,161,0,0,103,27,0,0,0,0,521,298,58,74,0,0,0,0,0,0,0,0
"Vinciguerria / Woodsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
